,Model,MAE,RMSE,R²
0,Bagging,0.0,0.0,1.0
1,Stacking,2.8488090995715245e-13,6.108484932315124e-13,1.0
2,Boosting,1.0740238934124065e-05,2.303880155268205e-05,0.9999999992944912
